reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.45,0.006295291067595507
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.5,0.006488012495141065
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.55,0.006686207763279602
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.6,0.006888028407894318
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.65,0.007121539210092943
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.7,0.0073339025547846555
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.75,0.0076037145036275434
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.8,0.007909482924375408
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.85,0.008296595635738547
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.9,0.00875403739128765
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.95,0.00944978447962699
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.975,0.01009385830283268
2026-03-28,05,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.99,0.010844234731207266
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.01,0.002556136565007474
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.025,0.0029845063362011403
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.05,0.0033394696080715778
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.1,0.0037876560888843247
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.15,0.004127333943885061
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.2,0.004396171852691807
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.25,0.004659253492579862
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.3,0.004922175265769525
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.35,0.005152956631068743
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.4,0.005359581094310692
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.45,0.005586612277927288
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.5,0.005800307661226435
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.55,0.006071984489575282
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.6,0.006292605381743763
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.65,0.0065750072654592335
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.7,0.006909954375117138
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.75,0.007270988366738588
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.8,0.007709671758110212
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.85,0.008232988374413528
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.9,0.008832285914752535
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.95,0.010064630685961067
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.975,0.011137362754493903
2026-03-28,05,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.99,0.012791087821204016
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.01,0.0018330088809915962
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.025,0.002230976238715783
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.05,0.00256654135258899
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.1,0.002971566879403982
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.15,0.0032887445194433964
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.2,0.0036035913417797006
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.25,0.003864139725445228
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.3,0.004095234946304388
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.35,0.00432504729546123
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.4,0.004559753117702683
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.45,0.00476368085962563
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.5,0.0049998984747173895
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.55,0.005231334419284062
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.6,0.005517894423176357
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.65,0.00581388978616712
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.7,0.006131227267510092
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.75,0.006510426945574035
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.8,0.0069558561488915725
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.85,0.007488555188253299
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.9,0.008167039690533909
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.95,0.00940945803469022
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.975,0.010730992800707542
2026-03-28,05,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.99,0.012165591385077036
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.01,0.0013651904585217718
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.025,0.0016517633359954711
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.05,0.0019752356910331674
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.1,0.002322231750040426
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.15,0.0025936253480437297
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.2,0.002823105800323571
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.25,0.0030707185551598626
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.3,0.0032944523428683125
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.35,0.0035120609985308
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.4,0.0037313865877821465
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.45,0.003975009262596552
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.5,0.004182987539274067
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.55,0.004405556634610441
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.6,0.004686325372025577
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.65,0.0049789522741335995
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.7,0.005283680976476876
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.75,0.0056307741010695935
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.8,0.006016834939787755
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.85,0.00649629195743801
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.9,0.007220662503306488
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.95,0.00833447379451885
2026-03-28,05,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.975,0.00959801897637713
